source_record,source_table,source_table_doi,observable_kind,eta_range,multiplicity_selection,manuscript_bin,fit_ready,mapping_status,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error,total_error
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.45,0.5,0.475,3.046,0.001344,0.2067,0.20670436941680742
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.45,0.5,0.475,8.722,0.003715,0.2947,0.29472341478918845
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.45,0.5,0.475,13.35,0.006643,0.4466,0.4466494032784551
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.45,0.5,0.475,17.67,0.0113,0.591,0.5911080188933322
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.45,0.5,0.475,21.78,0.01923,0.5437,0.5440399644327611
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.45,0.5,0.475,25.65,0.03311,0.6406,0.6414550896984137
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.45,0.5,0.475,29.44,0.05814,0.7362,0.7384921797825621
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.45,0.5,0.475,33.05,0.1039,0.8253,0.8318144624854753
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.45,0.5,0.475,37.72,0.1662,0.9429,0.9574355591892333
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.45,0.5,0.475,44.8,0.5568,1.132,1.2615269477898599
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.5,0.55,0.525,2.632,0.001285,0.1787,0.17870462004380303
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.5,0.55,0.525,7.69,0.00359,0.2606,0.2606247265706
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.5,0.55,0.525,11.91,0.006457,0.3995,0.39955217788043657
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.5,0.55,0.525,15.86,0.01101,0.5322,0.532313873668534
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.5,0.55,0.525,19.61,0.01878,0.4924,0.49275800186298346
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.5,0.55,0.525,23.24,0.03244,0.5838,0.5847006016757637
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.5,0.55,0.525,26.62,0.05689,0.6707,0.6731084326466278
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.5,0.55,0.525,30.23,0.1023,0.7591,0.7659622053339186
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.5,0.55,0.525,34.11,0.1626,0.8567,0.8719940653467775
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.5,0.55,0.525,40.83,0.547,1.108,1.2356670263464993
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.55,0.6,0.575,2.26,0.001211,0.1531,0.15310478934703514
