t1_init,u1_init,t2_init,u2_init,valid,chi2,chi2_ndf,t1_fit,t2_fit,u1_fit,u2_fit
0.16,1.0,0.2,0.4,False,642.3889000571742,15.668021952614005,,,,
0.16,1.0,0.2,0.6,False,682.8686314484385,16.655332474352157,,,,
0.16,1.0,0.2,0.8,False,641.0211740516872,15.63466278174847,,,,
0.16,1.0,0.2,1.0,False,642.6024212802838,15.673229787323995,,,,
0.16,1.0,0.24,0.4,False,641.7122707523871,15.65151879883871,,,,
0.16,1.0,0.24,0.6,False,643.3365782531091,15.69113605495388,,,,
0.16,1.0,0.24,0.8,False,644.4606225428781,15.718551769338491,,,,
0.16,1.0,0.24,1.0,False,641.4089001686857,15.644119516309408,,,,
0.2,0.4,0.2,0.4,True,640.973185851932,15.633492337852001,0.967792089978107,0.1968457741988499,2.9999745566284934,1.4849935909504957
0.2,0.4,0.2,0.6,False,645.8873272781523,15.753349445808592,,,,
0.2,0.4,0.2,0.8,False,647.8877516967912,15.802140285287589,,,,
0.2,0.4,0.2,1.0,False,642.4438671556169,15.669362613551632,,,,
0.2,0.4,0.24,0.4,False,642.481410683762,15.670278309360048,,,,
0.2,0.4,0.24,0.6,False,643.158766826798,15.686799190897512,,,,
0.2,0.4,0.24,0.8,False,643.8702790550282,15.704153147683614,,,,
0.2,0.4,0.24,1.0,False,646.7093349468722,15.773398413338347,,,,
0.2,0.6,0.2,0.4,False,642.3340431871483,15.666683980174348,,,,
0.2,0.6,0.2,0.6,False,645.898393415793,15.753619351604707,,,,
0.2,0.6,0.2,0.8,False,642.8498687001833,15.679265090248371,,,,
0.2,0.6,0.2,1.0,False,644.1933348763027,15.712032557958603,,,,
0.2,0.6,0.24,0.4,False,642.8645657721557,15.679623555418432,,,,
0.2,0.6,0.24,0.6,False,642.7488068405568,15.676800166842847,,,,
0.2,0.6,0.24,0.8,False,645.1366072991273,15.735039202417738,,,,
0.2,0.6,0.24,1.0,False,645.9012381195672,15.75368873462359,,,,
0.2,0.8,0.2,0.4,True,640.9732610025304,15.633494170793425,0.9677066181986378,0.19675147906081236,2.999966701968667,1.483369019855518
0.2,0.8,0.2,0.6,False,682.9561304339204,16.657466595949277,,,,
0.2,0.8,0.2,0.8,False,653.1767168737439,15.931139435944973,,,,
0.2,0.8,0.2,1.0,True,640.9734925277855,15.633499817750867,0.9677512821860956,0.1968342989050895,2.999926654395807,1.4849473978631926
0.2,0.8,0.24,0.4,False,640.9744683578436,15.633523618483991,,,,
0.2,0.8,0.24,0.6,False,641.4951282576593,15.646222640430715,,,,
0.2,0.8,0.24,0.8,False,683.1291595799308,16.661686819022705,,,,
0.2,0.8,0.24,1.0,True,640.9731658947258,15.633491851090872,0.9677970655245666,0.1967950297563824,2.999985804569554,1.4839533910207483
0.2,1.0,0.2,0.4,False,682.5487392346585,16.64753022523557,,,,
0.2,1.0,0.2,0.6,False,669.7977301521967,16.336530003712113,,,,
0.2,1.0,0.2,0.8,False,662.6418239548467,16.161995706215773,,,,
0.2,1.0,0.2,1.0,True,640.9732326854713,15.633493480133447,0.967773935946817,0.19680291795962046,2.9999710122519314,1.484401705699942
0.2,1.0,0.24,0.4,False,641.3881734711682,15.643613987101665,,,,
0.2,1.0,0.24,0.6,False,641.232094308926,15.639807178266487,,,,
0.2,1.0,0.24,0.8,False,641.086606795983,15.636258702341049,,,,
0.2,1.0,0.24,1.0,False,641.0286407762321,15.63484489698127,,,,
0.24,0.4,0.24,0.4,False,640.9976111895264,15.634088077793328,,,,
0.24,0.4,0.24,0.6,False,644.1753633770246,15.711594228707916,,,,
0.24,0.4,0.24,0.8,False,641.9765967208309,15.657965773678804,,,,
0.24,0.4,0.24,1.0,False,641.1004085566569,15.636595330650168,,,,
0.24,0.6,0.24,0.4,False,640.9732308117256,15.633493434432332,,,,
0.24,0.6,0.24,0.6,False,641.4083883227767,15.644107032262845,,,,
0.24,0.6,0.24,0.8,False,670.687361807971,16.35822833677978,,,,
0.24,0.6,0.24,1.0,False,641.0361049538013,15.635026950092715,,,,
0.24,0.8,0.24,0.4,False,641.1086381243528,15.636796051813482,,,,
0.24,0.8,0.24,0.6,True,640.9731092060779,15.633490468440923,0.9677738405293631,0.19679662539363715,2.999996725148731,1.4840100297753303
0.24,0.8,0.24,0.8,False,642.9389026029025,15.681436648851282,,,,
0.24,0.8,0.24,1.0,False,641.8091915918837,15.653882721753263,,,,
0.24,1.0,0.24,0.4,False,642.3133878599303,15.666180191705617,,,,
0.24,1.0,0.24,0.6,False,650.046530600798,15.854793429287755,,,,
0.24,1.0,0.24,0.8,False,649.4503715685546,15.840252965086698,,,,
0.24,1.0,0.24,1.0,False,646.0318541249451,15.756874490852319,,,,
