group_label,model_name,parameter_left,parameter_right,correlation
126-150,tsallis_2c,norm_2,norm_2,0.9999999999999999
126-150,tsallis_2c,norm_2,temperature_2,-0.998497063515663
126-150,tsallis_2c,norm_2,q_2,0.9628020812586157
126-150,tsallis_2c,temperature_2,norm_1,0.7356944336452804
126-150,tsallis_2c,temperature_2,temperature_1,-0.6744097143977691
126-150,tsallis_2c,temperature_2,q_1,0.49139490438871586
126-150,tsallis_2c,temperature_2,norm_2,-0.998497063515663
126-150,tsallis_2c,temperature_2,temperature_2,1.0000000000000002
126-150,tsallis_2c,temperature_2,q_2,-0.9723506185897858
126-150,tsallis_2c,q_2,norm_1,-0.8593788483077378
126-150,tsallis_2c,q_2,temperature_1,0.8056428096171271
126-150,tsallis_2c,q_2,q_1,-0.6272552613033668
126-150,tsallis_2c,q_2,norm_2,0.9628020812586157
126-150,tsallis_2c,q_2,temperature_2,-0.9723506185897858
126-150,tsallis_2c,q_2,q_2,1.0000000000000002
21-30,juttner_1c,norm_1,norm_1,1.0000000000000002
21-30,juttner_1c,norm_1,temperature_1,-0.9860649548152761
21-30,juttner_1c,norm_1,U_1,0.0004082626309532077
21-30,juttner_1c,temperature_1,norm_1,-0.9860649548152761
21-30,juttner_1c,temperature_1,temperature_1,0.9999999999999999
21-30,juttner_1c,temperature_1,U_1,0.009457576925024141
21-30,juttner_1c,U_1,norm_1,0.0004082626309532077
21-30,juttner_1c,U_1,temperature_1,0.009457576925024141
21-30,juttner_1c,U_1,U_1,1.0000000000000002
21-30,bose_1c,norm_1,norm_1,1.0
21-30,bose_1c,norm_1,temperature_1,-0.9857670680446502
21-30,bose_1c,norm_1,U_1,-0.0007362039895783976
21-30,bose_1c,temperature_1,norm_1,-0.9857670680446502
21-30,bose_1c,temperature_1,temperature_1,0.9999999999999999
21-30,bose_1c,temperature_1,U_1,-0.01693623206571211
21-30,bose_1c,U_1,norm_1,-0.0007362039895783976
21-30,bose_1c,U_1,temperature_1,-0.01693623206571211
21-30,bose_1c,U_1,U_1,1.0
21-30,tsallis_1c,norm_1,norm_1,0.9999999999999998
21-30,tsallis_1c,norm_1,temperature_1,-0.9725222748761695
21-30,tsallis_1c,norm_1,q_1,0.8085839062775315
21-30,tsallis_1c,temperature_1,norm_1,-0.9725222748761695
21-30,tsallis_1c,temperature_1,temperature_1,0.9999999999999999
21-30,tsallis_1c,temperature_1,q_1,-0.9052284513430285
21-30,tsallis_1c,q_1,norm_1,0.8085839062775315
21-30,tsallis_1c,q_1,temperature_1,-0.9052284513430285
21-30,tsallis_1c,q_1,q_1,1.0
21-30,bgbw,norm_1,norm_1,1.0
21-30,bgbw,norm_1,temperature_1,-0.9834162753661807
21-30,bgbw,norm_1,beta_s_1,0.8871806008734382
21-30,bgbw,norm_1,n_1,-0.000392210614552976
21-30,bgbw,temperature_1,norm_1,-0.9834162753661807
21-30,bgbw,temperature_1,temperature_1,1.0
21-30,bgbw,temperature_1,beta_s_1,-0.9461716045598902
21-30,bgbw,temperature_1,n_1,0.0004915514039176996
21-30,bgbw,beta_s_1,norm_1,0.8871806008734382
21-30,bgbw,beta_s_1,temperature_1,-0.9461716045598902
21-30,bgbw,beta_s_1,beta_s_1,1.0000000000000002
21-30,bgbw,beta_s_1,n_1,-0.00025055448515182014
21-30,bgbw,n_1,norm_1,-0.000392210614552976
21-30,bgbw,n_1,temperature_1,0.0004915514039176996
