source_record,source_table,source_table_doi,observable_kind,eta_range,multiplicity_selection,manuscript_bin,fit_ready,mapping_status,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error,total_error
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.65,0.7,0.675,17.47,0.03,0.4491,0.4501008886905246
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.65,0.7,0.675,20.21,0.05287,0.5227,0.5253670401728682
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.65,0.7,0.675,22.87,0.09487,0.5875,0.5951105501501381
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.65,0.7,0.675,26.33,0.1524,0.6755,0.6924781657207684
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.65,0.7,0.675,31.64,0.5136,0.8186,0.9663803185081948
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.7,0.75,0.725,1.447,0.001026,0.09836,0.0983653509931215
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.7,0.75,0.725,4.743,0.003056,0.1634,0.1634285750289709
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.7,0.75,0.725,7.703,0.005629,0.2629,0.2629602548694384
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.7,0.75,0.725,10.52,0.009722,0.359,0.3591316155450533
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.7,0.75,0.725,13.29,0.01676,0.3443,0.3447076842775629
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.7,0.75,0.725,15.94,0.02911,0.4141,0.4151219123341961
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.7,0.75,0.725,18.55,0.05148,0.4823,0.4850396688931741
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.7,0.75,0.725,21.0,0.09237,0.545,0.5527723011331158
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.7,0.75,0.725,24.13,0.1483,0.6245,0.6418669176706336
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.7,0.75,0.725,29.14,0.5009,0.7542,0.90538304048618
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.75,0.8,0.775,1.242,0.000961,0.08494,0.0849454361399127
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.75,0.8,0.775,4.218,0.002925,0.1462,0.1462292570760037
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.75,0.8,0.775,6.934,0.005421,0.2379,0.2379617558369411
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.75,0.8,0.775,9.55,0.009402,0.3277,0.3278348480622522
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.75,0.8,0.775,12.14,0.01625,0.3171,0.3175160980170926
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.75,0.8,0.775,14.57,0.02825,0.3805,0.3815472611617072
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.75,0.8,0.775,17.03,0.05007,0.4491,0.4518825233398609
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.75,0.8,0.775,19.3,0.0899,0.5054,0.5133333906926374
