source_record,source_table,source_table_doi,source_location,description,observable_kind,eta_range,multiplicity_selection,pt_selection,extrapolated,row_index,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error_minus,sys_error_plus,sys_error,total_error,fit_ready,manuscript_bin,mapping_status
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,41-50,,False,5,0.35,0.4,0.375,16.62,0.007336,,,,0.007336,True,41-50,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,51-60,,False,5,0.35,0.4,0.375,21.69,0.01239,,,,0.01239,True,51-60,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,61-70,,False,5,0.35,0.4,0.375,26.5,0.021,,,,0.021,True,61-70,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,71-80,,False,5,0.35,0.4,0.375,31.09,0.03608,,,,0.03608,True,71-80,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,81-90,,False,5,0.35,0.4,0.375,35.5,0.0632,,,,0.0632,True,81-90,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,91-100,,False,5,0.35,0.4,0.375,39.71,0.1127,,,,0.1127,True,91-100,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,101-125,,False,5,0.35,0.4,0.375,44.85,0.1794,,,,0.1794,True,101-125,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,126-150,,False,5,0.35,0.4,0.375,53.52,0.6024,,,,0.6024,True,126-150,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,21-30,,False,6,0.4,0.45,0.42500000000000004,3.516,0.001423,,,,0.001423,True,21-30,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,31-40,,False,6,0.4,0.45,0.42500000000000004,9.838,0.003881,,,,0.003881,True,31-40,matched_to_manuscript_bin
